,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework,salary
0,No,non-travel,2015.72,Research & Development,6,Bachelor,,1,1,Male,,3,5,Research director,3,Unknown,42330.17,7,No,13,3.0,3,Full Time,0,,5,3.0,20,,15,15,1972,Yes,195370.0
1,No,non-travel,2063.39,Unknown,1,Masters,Life Sciences,2,3,Male,,2,5,Manager,3,Unknown,43331.17,0,No,14,3.0,1,,1,34.0,5,3.0,33,,11,9,1971,Yes,199990.0
2,No,travel_rarely,1984.25,Research & Development,4,Professional Certification,Technical Degree,3,3,Male,,3,5,Manager,4,Married,41669.33,1,No,11,3.0,4,,0,22.0,3,,22,,11,15,1981,Yes,192320.0
3,No,travel_rarely,1771.4,Research & Development,2,Masters,Medical,4,1,Female,,3,4,Research director,3,Married,37199.5,3,No,19,3.0,2,Full Time,2,,2,,20,,5,6,1976,No,171690.0
4,No,non-travel,1582.77,Sales,3,Bachelor,Technical Degree,5,1,Female,,4,4,Sales executive,1,Divorced,33238.2,2,No,12,3.0,4,,1,,5,3.0,19,,2,8,1977,No,153407.04
5,No,non-travel,1771.92,Research & Development,22,Bachelor,Medical,6,4,Female,,3,4,Manager,4,Unknown,37210.33,3,No,11,3.0,2,,1,,3,3.0,22,,4,7,1975,Yes,171740.04
6,No,non-travel,1032.49,Sales,25,Bachelor,Life Sciences,7,1,Female,,3,3,Sales executive,1,Unknown,21682.23,7,No,11,3.0,4,Part Time,0,28.0,3,2.0,21,,7,9,1964,Yes,100071.84
7,No,travel_rarely,556.26,Sales,1,High School or Below,,8,2,Male,69.53,3,2,Sales executive,3,Married,11681.39,1,No,25,4.0,3,Part Time,0,20.0,3,3.0,20,,11,6,1981,No,53914.11
8,No,non-travel,1712.18,Unknown,2,Doctor,,9,2,Female,,3,4,Manager,1,Married,35955.83,7,No,16,3.0,2,Full Time,1,22.0,2,3.0,18,,11,8,1982,Yes,165950.0
9,No,travel_frequently,1973.98,Research & Development,9,Bachelor,,10,1,Male,,3,5,Research director,3,Unknown,41453.67,2,No,17,3.0,2,,1,21.0,2,4.0,18,,0,11,1982,No,191324.63999999998
10,No,non-travel,2060.71,Research & Development,7,High School or Below,,11,2,Female,,1,5,Research director,3,Unknown,43274.83,1,No,22,4.0,2,Full Time,2,,3,3.0,21,,5,10,1982,No,199730.0
11,No,travel_rarely,1382.75,Research & Development,23,Bachelor,Life Sciences,12,4,Male,172.84,3,4,Manufacturing director,2,Married,29037.67,4,Yes,12,,1,Full Time,1,33.0,0,3.0,19,,15,9,1967,No,134020.0
12,No,non-travel,1362.52,Research & Development,10,Bachelor,Medical,13,2,Female,,1,3,Research director,3,Married,28613.0,3,No,12,3.0,1,Full Time,1,,3,3.0,18,,1,11,1985,Yes,132060.0
13,Yes,travel_rarely,2016.55,Research & Development,12,Bachelor,,14,2,Female,,3,5,Research director,3,Married,42347.5,1,No,12,3.0,4,Full Time,0,,0,3.0,22,,15,8,1982,No,195450.0
14,No,non-travel,1973.98,Research & Development,14,Masters,Medical,15,3,Male,,4,5,Research director,2,Single,41453.67,8,No,11,3.0,4,,0,,3,3.0,24,,2,15,1968,Yes,191324.63999999998
15,No,travel_rarely,1861.37,Unknown,2,Masters,,16,3,Female,,3,5,Manager,3,Unknown,39088.83,0,No,14,3.0,4,Full Time,0,,2,3.0,20,,1,12,1983,No,180410.0
16,Yes,travel_rarely,1985.7,Research & Development,2,Masters,,17,4,Male,,3,5,Research director,2,Single,41699.67,7,Yes,12,3.0,4,Full Time,0,40.0,2,3.0,31,,13,8,1965,No,192460.0
17,No,travel_rarely,1582.77,Unknown,2,Bachelor,,18,3,Female,,3,4,Manager,1,Unknown,33238.2,8,No,23,4.0,1,,0,28.0,2,3.0,26,,15,9,1977,No,153407.04
18,No,non-travel,556.26,Research & Development,13,Doctor,Life Sciences,19,2,Male,,4,2,Research scientist,1,Married,11681.39,1,No,11,3.0,4,,0,,2,3.0,16,,1,10,1988,No,53914.08
19,No,travel_rarely,1032.49,Research & Development,15,Bachelor,Life Sciences,20,1,Female,,2,3,Manufacturing director,3,Unknown,21682.23,1,No,13,3.0,4,,2,18.0,2,,18,,14,12,1983,Yes,100071.84
20,No,non-travel,1108.92,Research & Development,1,High School or Below,,21,3,Male,,2,3,Healthcare representative,3,Unknown,23287.33,3,No,23,4.0,4,Full Time,1,25.0,3,2.0,23,,14,4,1978,No,107480.0
21,No,non-travel,1032.49,Research & Development,1,Professional Certification,Life Sciences,22,1,Female,,3,3,Research director,4,Single,21682.23,1,Yes,12,3.0,3,Part Time,0,15.0,1,3.0,15,,8,12,1990,Yes,100071.84
22,No,non-travel,1032.49,Research & Development,8,Bachelor,,23,3,Female,,3,3,Healthcare representative,3,Divorced,21682.23,1,No,13,,2,,3,17.0,2,3.0,17,,12,8,1987,Yes,100071.84
23,No,non-travel,1728.38,Unknown,2,Professional Certification,Other,24,3,Female,216.05,3,4,Manager,4,Married,36296.0,1,No,11,3.0,3,Full Time,1,,3,2.0,26,,3,0,1976,No,167520.0
24,No,travel_rarely,639.79,Sales,42,Professional Certification,Life Sciences,25,4,Male,79.97,3,2,Sales executive,4,Unknown,13435.5,1,No,14,3.0,4,Full Time,1,18.0,1,,18,,4,11,1987,Yes,62010.0
25,No,non-travel,1032.49,Research & Development,9,Bachelor,Life Sciences,26,4,Female,129.06,2,3,Manufacturing director,3,Married,21682.23,1,Yes,20,4.0,2,Part Time,1,17.0,2,3.0,17,,5,15,1988,No,100071.84
26,Yes,non-travel,2047.5,Unknown,2,High School or Below,,27,1,Female,,1,5,Manager,4,Married,42997.5,1,No,15,3.0,4,Full Time,1,33.0,3,3.0,32,,6,9,1971,Yes,198450.0
27,No,non-travel,556.26,Research & Development,2,Masters,Life Sciences,28,3,Female,,3,2,Manufacturing director,2,Single,11681.39,9,Yes,11,3.0,4,,0,18.0,2,3.0,16,,5,12,1987,No,53914.11
28,No,travel_rarely,556.26,Research & Development,28,Masters,Life Sciences,29,2,Male,69.53,3,2,Laboratory technician,3,Married,11681.39,1,No,12,3.0,2,Part Time,1,15.0,3,3.0,15,,5,7,1990,Yes,53914.11
29,No,non-travel,412.8,Sales,10,Bachelor,Life Sciences,30,4,Male,,3,2,Sales executive,3,Unknown,8668.83,1,Yes,14,3.0,3,Part Time,1,15.0,3,3.0,15,,0,7,1989,Yes,40010.0
30,No,non-travel,1077.87,Sales,37,High School or Below,,31,3,Female,,3,3,Sales executive,3,Divorced,22635.17,0,No,13,3.0,4,Full Time,1,,3,4.0,22,,13,5,1982,Yes,104470.0
31,No,non-travel,1032.49,Research & Development,25,Bachelor,Medical,32,1,Male,,3,3,Healthcare representative,3,Unknown,21682.23,2,No,23,4.0,2,,0,25.0,3,3.0,17,,12,11,1976,Yes,100071.84
32,No,travel_rarely,1973.98,Unknown,5,Bachelor,,33,3,Female,246.75,3,5,Manager,3,Unknown,41453.67,4,No,11,3.0,4,Full Time,1,26.0,3,2.0,14,,4,8,1970,Yes,191324.62
33,No,non-travel,556.26,Sales,1,Masters,Marketing,34,3,Male,69.53,2,2,Sales executive,1,Single,11681.39,0,No,14,,2,Part Time,0,16.0,2,3.0,15,,2,8,1988,No,53914.11
34,No,travel_rarely,556.26,Research & Development,6,Masters,Other,35,1,Female,,3,2,Research scientist,3,Single,11681.39,1,No,14,3.0,3,,0,16.0,3,3.0,16,,2,10,1989,Yes,53914.08
35,No,travel_rarely,1032.49,Sales,1,Professional Certification,,36,2,Female,,3,3,Sales executive,1,Divorced,21682.23,1,No,25,4.0,3,Part Time,3,24.0,2,3.0,24,,15,7,1977,Yes,100071.84
36,No,non-travel,1657.4,Unknown,16,Bachelor,,37,4,Female,207.17,3,4,Manager,4,Married,34805.33,5,No,22,4.0,3,Full Time,1,22.0,3,3.0,17,,1,9,1980,Yes,160640.0
37,No,non-travel,331.19,Research & Development,6,Bachelor,Life Sciences,38,4,Male,,3,1,Laboratory technician,4,Married,6955.0,0,No,11,3.0,3,Full Time,1,16.0,4,3.0,15,,10,11,1987,Yes,32100.0
38,No,travel_frequently,1059.19,Sales,28,Bachelor,,39,3,Female,,2,3,Sales executive,1,Married,22243.0,4,No,19,3.0,4,Full Time,0,22.0,5,4.0,18,"13,0",13,11,1963,Yes,102660.0
39,No,travel_frequently,1080.75,Sales,5,Masters,,40,4,Male,,2,3,Sales executive,1,Married,22695.83,5,Yes,21,4.0,3,Full Time,1,20.0,2,3.0,18,,1,12,1983,No,104750.0
40,No,travel_rarely,635.76,Research & Development,4,Bachelor,,41,3,Female,,2,2,Manufacturing director,3,Married,13351.0,1,No,12,3.0,3,Full Time,1,14.0,3,3.0,14,,6,8,1991,No,61620.0
41,No,travel_rarely,487.09,Research & Development,35,Bachelor,,42,3,Male,60.89,3,1,Laboratory technician,1,Single,10228.83,2,Yes,13,,3,Full Time,0,20.0,3,3.0,18,,2,17,1982,Yes,47210.0
42,No,non-travel,1582.77,Unknown,2,Professional Certification,Medical,43,3,Male,,3,4,Manager,3,Divorced,33238.2,6,No,13,3.0,3,Full Time,1,22.0,3,4.0,17,,15,2,1970,No,153407.07
